Name,FPS,sec/img,VRAM,Params
superultracompact  4x,560.54,0.0018,0.23,52968
ultracompact  4x,141.72,0.0071,0.27,325488
spanplus_sts  4x,139.90,0.0071,0.49,693160
compact  4x,78.73,0.0127,0.27,621424
spanplus_s  4x,68.39,0.0146,1.09,687707
span  4x,58.73,0.0170,1.23,2236728
spanplus_st  4x,58.62,0.0171,0.68,2236728
spanplus  4x,40.62,0.0246,1.43,2228507
mosr_t  4x,38.30,0.0261,0.70,609888
realcugan  4x,26.87,0.0372,1.93,1406812
lmlt_tiny  4x,20.24,0.0494,0.54,251040
artcnn  4x,12.49,0.0801,0.69,3864048
lmlt_base  4x,11.79,0.0848,0.72,671808
lmlt_large  4x,8.37,0.1194,0.95,1295328
mosr  4x,6.60,0.1515,0.91,4287600
esrgan_lite  4x,5.94,0.1684,1.31,5021155
scunet_aaf6aa  4x,5.65,0.1770,3.58,15207468
omnisr  4x,4.88,0.2048,1.45,805376
hit_sir  4x,3.14,0.3185,2.08,791540
hit_sng  4x,2.63,0.3808,2.08,1032060
plksr  4x,2.57,0.3888,0.52,7386096
hit_srf  4x,2.56,0.3910,2.08,866420
realplksr pixelshuffle 4x,2.23,0.4490,0.52,7389680
realplksr dysample 4x,2.17,0.4609,1.43,7402243
esrgan  4x,1.81,0.5530,2.53,16697987
atd_light  4x,1.09,0.9175,3.72,768792
srformer_light  4x,1.08,0.9259,1.61,872748
swinir_s  4x,1.07,0.9325,1.78,929628
swinir_m  4x,0.70,1.4261,3.19,11900199
hat_s  4x,0.50,2.0032,10.92,9621183
hat_m  4x,0.44,2.2666,11.60,20772507
swinir_l  4x,0.42,2.3909,4.25,28013059
dat_2  4x,0.28,3.5412,4.98,11212131
srformer  4x,0.28,3.5527,3.95,10543503
atd  4x,0.28,3.6309,7.94,20260929
rgt_s  4x,0.25,4.0295,17.66,10198767
hat_l  4x,0.23,4.3483,11.68,40846575
rgt  4x,0.20,4.9803,17.70,13365543
drct  4x,0.19,5.2961,7.09,14139579
drct_l  4x,0.09,10.5712,7.21,27580719
drct_xl  4x,0.08,12.3598,7.25,32061099
